column00,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,year,totalIncidentsPerType,totalIncidentsperneigh
3,F170043431,131,Passenger vehicle fire,"1700 BLOCK BELLEAU DR, PITTSBURGH PA 15212",5/31/17 8:39,0,231EN38,2509,Fineview,6,25,42003250900,1,25,1,10-Jan,40.46030258,-80.00698007,2017,108,10
4,F180021111,111,Building fire,"2400 BLOCK VILLAGE RD, PITTSBURGH PA 15205",3/9/18 10:26,1,231EN31,2808,Fairywood,2,28,42003563000,5,28,6,16-Jan,40.4490093,-80.07660742,2018,135,4
5,F180021782,150,"Outside rubbish fire, Other","S 7TH ST & E CARSON ST, PITTSBURGH PA 15203",3/12/18 9:13,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,2-Apr,40.42861769,-79.99223882,2018,19,24
6,F180022495,113,"Cooking fire, confined to container","200 BLOCK E OHIO ST, PITTSBURGH PA 15212",3/14/18 19:46,1,231EN32,2204,Allegheny Center,1,22,42003562700,1,22,1,6-Jan,40.45302239,-80.00366043,2018,129,2
7,F180022546,111,Building fire,"7000 BLOCK LEMINGTON AVE, PITTSBURGH PA 15206",3/14/18 23:49,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,18-Mar,40.47135812,-79.89824,2018,135,18
8,F180022773,111,Building fire,"100 BLOCK SPENCER AVE, PITTSBURGH PA 15227",3/15/18 20:39,1,231EN23,2904,Carrick,4,29,42003290400,4,29,3,15-Apr,40.38549396,-79.97720011,2018,135,22
9,F170044316,131,Passenger vehicle fire,"1200 BLOCK WESTFIELD ST, PITTSBURGH PA 15216",6/3/17 1:31,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41521902,-80.01951585,2017,108,15
10,F130085568,151,"Outside rubbish, trash or waste fire","600 BLOCK LILLIAN ST, PITTSBURGH PA 15210",11/30/13 9:18,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,21-Apr,40.41848399,-79.99717741,2013,86,11
11,F150016873,118,"Trash or rubbish fire, contained","400 BLOCK BELTZHOOVER AVE, PITTSBURGH PA 15210",3/2/15 10:42,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41901427,-79.99751374,2015,44,17
13,F180022999,111,Building fire,"1300 BLOCK OAKMONT ST, PITTSBURGH PA 15205",3/16/18 18:10,1,231EN29,2815,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.43992672,-80.05613003,2018,135,9
14,F180023098,142,Brush or brush-and-grass mixture fire,"7400 BLOCK MONTICELLO ST, PITTSBURGH PA 15208",3/17/18 1:56,0,231EN17,1302,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45831363,-79.89101264,2018,25,14
15,F180023267,160,"Special outside fire, Other","5300 BLOCK BARTLETT RD, PITTSBURGH PA 15217",3/17/18 17:44,0,231EN18,1413,Squirrel Hill South,5,14,42003980500,3,14,4,21-Feb,40.43280288,-79.93639658,2018,15,20
16,F180022545,111,Building fire,"100 BLOCK DUNLAP ST, PITTSBURGH PA 15214",3/14/18 23:47,1,231EN34,2607,Perry North,1,26,42003260700,1,26,1,15-Jan,40.48636694,-80.01465152,2018,135,8
17,F170043228,151,"Outside rubbish, trash or waste fire","900 BLOCK MANTON WAY, PITTSBURGH PA 15210",5/30/17 14:29,0,231EN22,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.42127288,-79.99200501,2017,80,6
19,F180023327,111,Building fire,"2700 BLOCK BARNETT WAY, PITTSBURGH PA 15219",3/17/18 21:48,1,231EN10,509,Bedford Dwellings,6,5,42003050100,3,5,2,5-Feb,40.4512339,-79.96998758,2018,135,4
20,F130085648,130,"Mobile property (vehicle) fire, Other","7700 BLOCK BENNETT ST, PITTSBURGH PA 15208",11/30/13 16:18,0,231EN15,1304,Homewood South,9,13,42003130400,2,13,5,17-Mar,40.45454133,-79.88846176,2013,18,21
21,F130085676,111,Building fire,"800 BLOCK SPRING GARDEN AVE, PITTSBURGH PA 15212",11/30/13 19:40,3,231EN32,2304,East Allegheny,1,23,42003563200,1,23,1,5-Jan,40.45737706,-79.99773926,2013,167,13
22,F170043259,111,Building fire,"7100 BLOCK HERMITAGE ST, PITTSBURGH PA 15208",5/30/17 16:19,1,231EN15,1302,Homewood North,9,13,42003130200,2,13,5,18-Mar,40.46065773,-79.89748551,2017,162,20
23,F180023081,113,"Cooking fire, confined to container","5500 BLOCK COVODE ST, PITTSBURGH PA 15217",3/16/18 23:47,1,231EN18,1413,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb,40.43130062,-79.93028224,2018,129,20
24,F180023397,111,Building fire,"600 BLOCK ESTELLA AVE, PITTSBURGH PA 15210",3/18/18 6:52,1,231EN27,1809,Beltzhoover,3,18,42003562400,4,18,3,21-Apr,40.41740071,-80.00047669,2018,135,9
25,F180022822,111,Building fire,"300 BLOCK DINWIDDIE ST, PITTSBURGH PA 15220",3/16/18 2:11,1,231EN04,305,Crawford-Roberts,6,3,42003030500,3,3,2,1-Feb,40.44132702,-79.98048444,2018,135,6
26,F180023390,151,"Outside rubbish, trash or waste fire","200 BLOCK HAMMOND ST, PITTSBURGH PA 15204",3/18/18 5:22,0,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45677171,-80.04851498,2018,41,11
27,F180023465,113,"Cooking fire, confined to container","7200 BLOCK BENNETT ST, PITTSBURGH PA 15208",3/18/18 13:20,1,231EN17,1303,Homewood South,9,13,42003130300,2,13,5,17-Mar,40.45640769,-79.89666478,2018,129,9
28,F150016903,111,Building fire,"600 BLOCK DUFF ST, PITTSBURGH PA 15213",3/2/15 13:21,1,231EN10,501,Middle Hill,6,5,42003050100,3,5,2,5-Feb,40.44815736,-79.97264959,2015,230,12
29,F180023350,150,"Outside rubbish fire, Other","100 BLOCK S 22ND ST, PITTSBURGH PA 15203",3/18/18 0:20,0,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42778281,-79.9748527,2018,19,24
31,F170043408,113,"Cooking fire, confined to container","2500 BLOCK PENN AVE, PITTSBURGH PA 15222",5/31/17 7:12,1,231EN03,203,Strip District,7,2,42003020300,6,2,2,25-Feb,40.4539207,-79.979763,2017,213,1
32,F180023494,116,"Fuel burner/boiler malfunction, fire confined","1800 BLOCK CALISTOGA ST, PITTSBURGH PA 15221",3/18/18 16:23,1,231EN16,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45131324,-79.87720929,2018,6,9
33,F180023555,130,"Mobile property (vehicle) fire, Other","SAXON WAY & APPLE AVE, PITTSBURGH PA 15206",3/18/18 21:28,0,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46243537,-79.89432913,2018,12,14
34,F180023570,111,Building fire,"1300 BLOCK OAKGLEN ST, PITTSBURGH PA 15204",3/18/18 22:55,1,231EN31,2814,Crafton Heights,2,28,42003281400,5,28,6,16-Jan,40.45003262,-80.05947045,2018,135,9
35,F160016540,113,"Cooking fire, confined to container","5500 BLOCK BLACK ST, PITTSBURGH PA 15208",3/2/16 13:28,1,231EN08,1114,Garfield,9,11,42003111400,2,11,5,4-Mar,40.46938767,-79.92987748,2016,197,9
36,F160066215,113,"Cooking fire, confined to container","3400 BLOCK BEECHWOOD BLVD, PITTSBURGH PA 15207",8/22/16 12:47,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,15-Feb,40.4205815,-79.92704485,2016,197,15
37,F170043595,111,Building fire,"700 BLOCK MONTCLAIR ST, PITTSBURGH PA 15207",5/31/17 16:23,1,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.420419,-79.93313859,2017,162,13
38,F130085743,151,"Outside rubbish, trash or waste fire","ANDERSON ST & LACOCK ST, PITTSBURGH PA 15212",12/1/13 2:39,0,231EN32,2205,North Shore,1,23,42003563200,6,23,1,20-Jan,40.44975449,-80.00101256,2013,86,14
39,F130085772,113,"Cooking fire, confined to container","1100 BLOCK BUENTE ST, PITTSBURGH PA 15212",12/1/13 8:17,1,231EN38,2620,Spring Hill-City View,1,26,42003262000,1,26,1,11-Jan,40.46661658,-79.99554483,2013,240,18
40,F130085905,151,"Outside rubbish, trash or waste fire","ALLEN ST & MCLAIN ST, PITTSBURGH PA 15210",12/1/13 21:04,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42423883,-79.9938934,2013,86,11
41,F130086165,113,"Cooking fire, confined to container","600 BLOCK PENN AVE, PITTSBURGH PA 15222",12/2/13 22:52,1,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.44258495,-80.00178951,2013,240,31
42,F160030674,113,"Cooking fire, confined to container","5600 BLOCK FORWARD AVE, PITTSBURGH PA 15217",4/23/16 14:14,1,231EN18,1414,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.4277518,-79.92709834,2016,197,29
43,F130019545,111,Building fire,"600 BLOCK HERRON AVE, PITTSBURGH PA 15219",3/22/13 3:46,3,231EN10,506,Upper Hill,6,5,42003050600,3,5,2,5-Feb,40.45092063,-79.96488838,2013,167,8
44,F170043731,151,"Outside rubbish, trash or waste fire","1300 BLOCK PENNSYLVANIA AVE, PITTSBURGH PA 15233",5/31/17 22:05,0,231EN37,2107,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45437498,-80.02482011,2017,80,7
45,F170043748,113,"Cooking fire, confined to container","4600 BLOCK BROWNS HILL RD, PITTSBURGH PA 15207",6/1/17 0:33,1,231EN12,1414,Squirrel Hill South,5,15,42003141400,3,15,4,12-Feb,40.41559424,-79.9249411,2017,213,28
46,F130086394,112,Fires in structure other than in a building,"200 BLOCK VINELAND ST, PITTSBURGH PA 15234",12/3/13 19:29,1,231EN26,3207,Overbrook,4,32,42003320700,4,32,3,25-Apr,40.38660951,-79.99807691,2013,25,7
47,F130086433,130,"Mobile property (vehicle) fire, Other","33RD BLOCK ST & LIBERTY AVE, PITTSBURGH PA 15219",12/4/13 1:44,0,231EN06,603,Polish Hill,7,6,42003060500,6,6,2,2-Mar,40.46101229,-79.9680741,2013,18,7
48,F130086455,131,Passenger vehicle fire,"5800 BLOCK FORWARD AVE, PITTSBURGH PA 15217",12/4/13 7:07,0,231EN18,1408,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.4295955,-79.92335695,2013,119,26
49,F130086641,131,Passenger vehicle fire,"SAW MILL RUN BLVD & PROVOST, PITTSBURGH PA 15210",12/4/13 18:54,0,231EN26,3204,Overbrook,4,32,42003320400,4,32,3,25-Apr,40.37977871,-79.99402806,2013,119,7
51,F180027502,151,"Outside rubbish, trash or waste fire","100 BLOCK SCHENLEY MANOR DR, PITTSBURGH PA 15201",4/2/18 9:50,0,231EN07,1005,Central Lawrenceville,9,10,42003100500,2,10,2,7-Mar,40.47555988,-79.94006611,2018,41,7
52,F130086712,151,"Outside rubbish, trash or waste fire","BROWNS HILL RD & BEECHWOOD, PITTSBURGH PA 15217",12/5/13 5:18,0,231EN12,1517,Greenfield,5,15,42003151700,3,15,4,12-Feb,40.41960747,-79.92715138,2013,86,13
53,F130086866,113,"Cooking fire, confined to container","900 BLOCK BROOKLINE BLVD, PITTSBURGH PA 15226",12/5/13 15:17,1,231EN26,1918,Brookline,4,19,42003191800,4,19,6,26-Apr,40.39287148,-80.01918649,2013,240,24
54,F170054699,111,Building fire,"00 BLOCK NINA WAY, PITTSBURGH PA 15210",7/5/17 0:47,4,231TK26,1809,Beltzhoover,3,18,42003562400,4,18,3,16-Apr,40.42017975,-80.00597412,2017,162,18
56,F160016874,111,Building fire,"1100 BLOCK PAULSON AVE, PITTSBURGH PA 15206",3/3/16 18:25,1,231EN15,1203,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,15-Mar,40.46706575,-79.90580773,2016,213,25
57,F130087056,113,"Cooking fire, confined to container","1800 BLOCK CALISTOGA ST, PITTSBURGH PA 15208",12/6/13 8:34,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,19-Mar,40.45131324,-79.87720929,2013,240,17
58,F180027277,111,Building fire,"100 BLOCK SCHENLEY MANOR DR, PITTSBURGH PA 15201",4/1/18 13:52,1,231EN07,1005,Central Lawrenceville,9,10,42003100500,2,10,2,7-Mar,40.47555988,-79.94006611,2018,135,7
59,F180020179,113,"Cooking fire, confined to container","2300 BLOCK CALIFORNIA AVE, PITTSBURGH PA 15212",3/5/18 17:53,1,231EN37,2704,Marshall-Shadeland,1,27,42003980900,1,27,1,9-Jan,40.46239315,-80.03103749,2018,129,7
60,F130087314,111,Building fire,"2300 BLOCK ALMONT ST, PITTSBURGH PA 15210",12/7/13 7:49,1,231EN23,2904,Carrick,4,29,42003290400,4,29,3,23-Apr,40.38816554,-79.98830534,2013,167,34
61,F130087492,131,Passenger vehicle fire,"100 BLOCK ROUND TOP ST, PITTSBURGH PA 15220",12/8/13 1:17,0,231EN29,2815,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.4418105,-80.05438395,2013,119,16
62,F130087678,113,"Cooking fire, confined to container","300 BLOCK N CRAIG ST, PITTSBURGH PA 15213",12/8/13 19:23,1,231EN06,507,North Oakland,8,4,42003040400,3,4,4,9-Feb,40.44559065,-79.94938724,2013,240,19
63,F130088036,150,"Outside rubbish fire, Other","2ND BLOCK AVE & BRADY ST, PITTSBURGH PA 15219",12/10/13 8:44,0,231EN04,409,South Oakland,6,4,42003980800,3,4,4,2-Feb,40.43580697,-79.97263218,2013,65,14
64,F180021666,151,"Outside rubbish, trash or waste fire","900 BLOCK PENN AVE, PITTSBURGH PA 15222",3/11/18 18:16,0,231EN03,201,Central Business District,6,2,42003020100,6,2,2,3-Jan,40.4436107,-79.99804356,2018,41,12
65,F130088039,111,Building fire,"4000 BLOCK HALDANE ST, PITTSBURGH PA 15207",12/10/13 8:50,1,231EN12,1516,Greenfield,5,15,42003151600,3,15,4,12-Feb,40.42531897,-79.94328155,2013,167,13
