neighborhood,totalperneigh,year
Swisshelm Park,1,2013
St. Clair,1,2013
Ridgemont,1,2013
New Homestead,1,2013
Chartiers City,1,2013
Duquesne Heights,1,2013
Mt. Oliver,1,2013
Glen Hazel,2,2013
West End,2,2013
Windgap,2,2013
Esplen,2,2013
Regent Square,3,2013
Allegheny West,3,2013
Fairywood,3,2013
Oakwood,3,2013
Arlington,3,2013
Strip District,4,2013
Bon Air,4,2013
Manchester,4,2013
Summer Hill,4,2013
Spring Garden,5,2013
Chateau,5,2013
Banksville,5,2013
Morningside,5,2013
California-Kirkbride,5,2013
Friendship,5,2013
Troy Hill,6,2013
Elliott,6,2013
Central Lawrenceville,6,2013
Westwood,6,2013
South Shore,6,2013
Allegheny Center,6,2013
Overbrook,7,2013
Polish Hill,7,2013
Homewood West,7,2013
Lower Lawrenceville,7,2013
Lincoln Place,7,2013
Upper Hill,8,2013
Point Breeze North,8,2013
Bedford Dwellings,8,2013
Point Breeze,8,2013
Highland Park,8,2013
Fineview,8,2013
Knoxville,10,2013
Upper Lawrenceville,10,2013
Allentown,11,2013
Beechview,11,2013
Garfield,11,2013
Stanton Heights,11,2013
West Oakland,11,2013
Northview Heights,11,2013
Lincoln-Lemington-Belmar,12,2013
East Allegheny,13,2013
Greenfield,13,2013
Terrace Village,13,2013
North Shore,14,2013
South Oakland,14,2013
Bluff,14,2013
South Side Slopes,14,2013
Middle Hill,15,2013
Central Oakland,15,2013
Central Northside,15,2013
Crafton Heights,16,2013
Bloomfield,16,2013
Marshall-Shadeland,16,2013
Brighton Heights,16,2013
Beltzhoover,16,2013
East Hills,17,2013
Larimer,17,2013
Spring Hill-City View,18,2013
Perry North,18,2013
North Oakland,19,2013
Homewood South,21,2013
Homewood North,21,2013
Mount Washington,21,2013
Sheraden,22,2013
Squirrel Hill North,22,2013
Brookline,24,2013
Crawford-Roberts,24,2013
Shadyside,25,2013
Squirrel Hill South,26,2013
South Side Flats,26,2013
Perry South,27,2013
Central Business District,31,2013
Hazelwood,32,2013
Carrick,34,2013
East Liberty,35,2013
West End,1,2014
Ridgemont,1,2014
Hays,1,2014
Bon Air,2,2014
Westwood,2,2014
Swisshelm Park,2,2014
Friendship,2,2014
Windgap,2,2014
Arlington Heights,2,2014
Spring Garden,2,2014
East Carnegie,2,2014
Mt. Oliver,2,2014
Oakwood,2,2014
Fairywood,3,2014
Overbrook,3,2014
Morningside,3,2014
Strip District,3,2014
St. Clair,3,2014
Chartiers City,3,2014
Esplen,3,2014
Allegheny West,4,2014
Summer Hill,4,2014
Upper Lawrenceville,4,2014
Chateau,4,2014
Polish Hill,4,2014
